Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Personality,Stage_fear_No,Stage_fear_Yes,Drained_after_socializing_No,Drained_after_socializing_Yes,Interaction_Time,Social_Stress,Friends_to_Events_Ratio,Social_Media_Engagement,Social_Behavior,Energy_Social
3.0,6.0,4.0,10.0,7.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,1.6666638888935186,42.0,6.666666666666667,1
6.0,3.0,0.0,1.0,3.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,0.3333322222259259,9.0,1.3333333333333333,0
0.0,4.0,4.0,8.0,8.0,Extrovert,1.0,0.0,1.0,0.0,8.0,0,1.9999950000125002,32.0,5.333333333333333,1
9.0,0.0,0.0,0.0,0.0,Introvert,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0
1.0,5.0,6.0,10.0,4.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.9999960000080002,20.0,7.0,1
5.0,3.0,0.0,4.0,2.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,1.3333288889037036,6.0,2.3333333333333335,0
1.0,7.0,5.0,12.0,5.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.7142832653096212,35.0,8.0,1
10.0,3.0,1.0,2.0,1.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.6666644444518518,3.0,2.0,0
2.0,8.0,4.0,13.0,6.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.624997968752539,48.0,8.333333333333334,1
1.0,6.0,7.0,14.0,9.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,2.3333294444509263,54.0,9.0,1
9.0,2.0,2.0,1.0,0.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.49999750001249993,0.0,1.6666666666666667,0
2.0,8.0,7.0,15.0,6.0,Extrovert,1.0,0.0,1.0,0.0,15.0,0,1.8749976562529298,48.0,10.0,1
2.0,8.0,4.0,11.0,9.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.3749982812521484,72.0,7.666666666666667,1
0.0,6.0,4.0,14.0,9.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,2.3333294444509263,54.0,8.0,1
4.0,5.0,7.0,6.0,6.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.1999976000048,30.0,6.0,1
2.0,6.0,4.0,12.0,10.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,1.9999966666722224,60.0,7.333333333333333,1
0.0,9.0,4.0,14.0,7.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,1.5555538271624143,63.0,9.0,1
4.0,10.0,4.0,9.0,10.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,0.8999991000009,100.0,7.666666666666667,1
4.0,7.0,7.0,7.0,9.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,0.9999985714306123,63.0,7.0,1
5.0,3.0,3.0,0.0,1.0,Introvert,0.0,1.0,0.0,1.0,6.0,1,0.0,3.0,2.0,0
8.0,3.0,3.0,2.0,0.0,Introvert,0.0,1.0,1.0,0.0,6.0,1,0.6666644444518518,0.0,2.6666666666666665,1
10.0,1.0,1.0,3.0,2.0,Introvert,0.0,1.0,0.0,1.0,2.0,1,2.9999700002999967,2.0,1.6666666666666667,0
2.0,6.0,5.0,14.0,9.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,2.3333294444509263,54.0,8.333333333333334,1
1.0,4.0,4.0,15.0,4.0,Extrovert,1.0,0.0,1.0,0.0,8.0,0,3.749990625023438,16.0,7.666666666666667,1
1.0,6.0,4.0,10.0,5.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,1.6666638888935186,30.0,6.666666666666667,1
10.0,1.0,2.0,2.0,0.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,1.9999800001999979,0.0,1.6666666666666667,0
5.0,0.0,1.0,5.0,0.0,Introvert,0.0,1.0,0.0,1.0,1.0,1,499999.99999999994,0.0,2.0,0
3.0,5.0,5.0,13.0,5.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,2.5999948000104003,25.0,7.666666666666667,1
1.0,4.0,5.0,6.268862911795962,10.0,Extrovert,1.0,0.0,1.0,0.0,9.0,0,1.5672118099194658,40.0,5.089620970598654,1
9.0,1.0,3.0,2.0,2.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,1.9999800001999979,2.0,2.0,0
6.0,2.0,2.0,2.0,1.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.9999950000249999,2.0,2.0,0
8.0,2.0,1.0,5.0,3.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,2.4999875000625,6.0,2.6666666666666665,0
0.0,8.0,6.0,6.0,10.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,0.7499990625011719,80.0,6.666666666666667,1
4.0,7.0,4.0,13.0,10.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.8571402040854228,70.0,8.0,1
10.0,1.0,2.0,2.0,0.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,1.9999800001999979,0.0,1.6666666666666667,0
5.0,1.0,3.0,3.0,3.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,2.9999700002999967,3.0,2.3333333333333335,0
1.0,5.0,6.0,8.0,10.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.5999968000064002,50.0,6.333333333333333,1
6.0,1.0,0.0,3.0,1.0,Introvert,0.0,1.0,0.0,1.0,1.0,1,2.9999700002999967,1.0,1.3333333333333333,0
0.0,7.0,4.0,10.0,10.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.4285693877580177,70.0,7.0,1
9.0,0.0,2.0,3.0,2.0,Introvert,0.0,1.0,0.0,1.0,2.0,1,300000.0,0.0,1.6666666666666667,0
8.0,3.0,1.0,1.0,2.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.3333322222259259,6.0,1.6666666666666667,0
6.0,3.0,3.0,4.0,3.0,Introvert,0.0,1.0,0.0,1.0,6.0,1,1.3333288889037036,9.0,3.3333333333333335,0
3.0,10.0,4.0,10.0,5.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,0.9999990000010001,50.0,8.0,1
9.0,3.0,2.0,4.0,3.0,Introvert,0.0,1.0,0.0,1.0,5.0,1,1.3333288889037036,9.0,3.0,0
2.0,10.0,6.0,10.0,9.0,Extrovert,1.0,0.0,1.0,0.0,16.0,0,0.9999990000010001,90.0,8.666666666666666,1
2.0,5.0,7.0,10.0,5.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.9999960000080002,25.0,7.333333333333333,1
4.505816002819881,9.0,4.0,7.0,5.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,0.7777769135812072,45.0,6.666666666666667,1
1.0,9.0,5.0,9.0,10.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,0.9999988888901234,90.0,7.666666666666667,1
9.0,2.0,3.0,4.0,2.0,Introvert,0.0,1.0,0.0,1.0,5.0,1,1.9999900000499997,4.0,3.0,0
7.0,3.0,1.0,2.0,3.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.6666644444518518,9.0,2.0,0
2.0,7.0,5.0,7.0,9.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,0.9999985714306123,63.0,6.333333333333333,1
3.0,5.0,6.0,6.0,5.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.1999976000048,25.0,5.666666666666667,1
10.0,3.0,1.0,0.0,2.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.0,6.0,1.3333333333333333,0
0.0,10.0,6.0,6.0,4.0,Extrovert,1.0,0.0,1.0,0.0,16.0,0,0.5999994000006,40.0,7.333333333333333,1
5.0,1.0,3.0,4.0,3.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,3.9999600003999958,3.0,2.6666666666666665,0
0.0,4.0,6.0,6.0,5.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,1.499996250009375,20.0,5.333333333333333,1
7.0,3.0,2.0,1.0,2.0,Introvert,0.0,1.0,0.0,1.0,5.0,1,0.3333322222259259,6.0,2.0,0
8.0,3.0,3.0,4.0,0.0,Introvert,0.0,1.0,0.0,1.0,6.0,1,1.3333288889037036,0.0,3.3333333333333335,0
1.0,3.963354474982382,5.0,11.0,8.0,Extrovert,1.0,0.0,1.0,0.0,8.963354474982381,0,2.7754197398282168,31.706835799859057,6.654451491660794,1
2.0,10.0,5.0,12.0,5.0,Extrovert,1.0,0.0,1.0,0.0,15.0,0,1.1999988000012,50.0,9.0,1
8.0,0.0,1.0,0.0,2.0,Introvert,0.0,1.0,0.0,1.0,1.0,1,0.0,0.0,0.3333333333333333,0
10.0,2.0,0.0,3.0,1.0,Introvert,0.0,1.0,0.0,1.0,2.0,1,1.4999925000374998,2.0,1.6666666666666667,0
7.0,3.0,3.0,2.0,0.0,Introvert,0.0,1.0,0.0,1.0,6.0,1,0.6666644444518518,0.0,2.6666666666666665,0
6.0,1.0,2.0,5.0,0.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,4.999950000499995,0.0,2.6666666666666665,0
0.0,5.0,4.0,9.0,10.0,Extrovert,1.0,0.0,1.0,0.0,9.0,0,1.7999964000072002,50.0,6.0,1
8.0,0.0,1.0,5.0,0.0,Introvert,0.0,1.0,0.0,1.0,1.0,1,499999.99999999994,0.0,2.0,0
4.0,9.0,6.0,11.0,6.0,Extrovert,1.0,0.0,1.0,0.0,15.0,0,1.2222208641990397,54.0,8.666666666666666,1
5.0,2.0,0.0,2.0,0.0,Introvert,0.0,1.0,0.0,1.0,2.0,1,0.9999950000249999,0.0,1.3333333333333333,0
1.0,8.0,4.0,11.0,10.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.3749982812521484,80.0,7.666666666666667,1
0.0,5.0,6.0,9.0,7.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.7999964000072002,35.0,6.666666666666667,1
7.0,1.0,0.0,3.0,1.0,Introvert,0.0,1.0,1.0,0.0,1.0,1,2.9999700002999967,1.0,1.3333333333333333,1
4.0,4.0,7.0,6.0,8.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.499996250009375,32.0,5.666666666666667,1
3.0,4.0,4.0,12.0,5.0,Extrovert,1.0,0.0,1.0,0.0,8.0,0,2.99999250001875,20.0,6.666666666666667,1
4.0,9.0,4.0,8.0,10.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,0.8888879012356653,90.0,7.0,1
0.0,6.0,5.0,11.0,8.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.8333302777828704,48.0,7.333333333333333,1
1.0,4.0,6.0,15.0,8.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,3.749990625023438,32.0,8.333333333333334,1
3.0,7.0,6.0,6.268862911795962,9.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,0.8955505651843301,63.0,6.422954303931988,1
5.0,1.0,3.0,4.0,0.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,3.9999600003999958,0.0,2.6666666666666665,0
0.0,7.0,6.0,10.0,4.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,1.4285693877580177,28.0,7.666666666666667,1
9.0,1.0,1.0,1.0,3.0,Introvert,0.0,1.0,0.0,1.0,2.0,1,0.9999900000999989,3.0,1.0,0
3.0,5.0,5.0,8.0,5.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,1.5999968000064002,25.0,6.0,1
1.0,8.0,6.0,9.0,6.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,1.124998593751758,48.0,7.666666666666667,1
3.0,7.0,6.0,11.0,10.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,1.5714263265338193,70.0,8.0,1
1.0,5.0,3.0,10.0,9.0,Extrovert,1.0,0.0,1.0,0.0,8.0,0,1.9999960000080002,45.0,6.0,1
3.0,10.0,6.0,14.0,7.0,Extrovert,1.0,0.0,1.0,0.0,16.0,0,1.3999986000014,70.0,10.0,1
4.0,10.0,7.0,8.0,10.0,Extrovert,1.0,0.0,1.0,0.0,17.0,0,0.7999992000008,100.0,8.333333333333334,1
8.0,1.0,0.0,4.0,2.0,Introvert,0.0,1.0,0.0,1.0,1.0,1,3.9999600003999958,2.0,1.6666666666666667,0
5.0,2.0,2.0,0.0,3.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.0,6.0,1.3333333333333333,0
1.0,3.963354474982382,6.0,8.0,8.0,Extrovert,1.0,0.0,1.0,0.0,9.963354474982381,0,2.01848708351143,31.706835799859057,5.987784824994127,1
0.0,4.0,7.0,13.0,4.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,3.2499918750203127,16.0,8.0,1
5.0,1.0,3.0,5.0,2.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,4.999950000499995,2.0,3.0,0
7.0,1.0,2.0,3.0,3.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,2.9999700002999967,3.0,2.0,0
0.0,6.0,7.0,12.0,9.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,1.9999966666722224,54.0,8.333333333333334,1
0.0,4.0,6.0,13.0,5.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,3.2499918750203127,20.0,7.666666666666667,1
0.0,6.0,7.0,9.0,4.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,1.4999975000041668,24.0,7.333333333333333,1
3.0,4.0,5.0,10.0,6.0,Extrovert,1.0,0.0,1.0,0.0,9.0,0,2.499993750015625,24.0,6.333333333333333,1
9.0,0.0,3.0,1.0,0.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,99999.99999999999,0.0,1.3333333333333333,0
3.0,6.0,7.0,15.0,5.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,2.499995833340278,30.0,9.333333333333334,1
4.0,9.0,7.0,13.0,5.0,Extrovert,1.0,0.0,1.0,0.0,16.0,0,1.4444428395079563,45.0,9.666666666666666,1
1.0,7.0,7.0,9.0,5.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,1.2857124489822158,35.0,7.666666666666667,1
7.0,0.0,3.0,1.0,0.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,99999.99999999999,0.0,1.3333333333333333,0
3.0,6.0,4.0,8.0,10.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,1.333331111114815,60.0,6.0,1
4.0,5.0,5.0,15.0,8.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,2.9999940000120002,40.0,8.333333333333334,1
1.0,7.0,5.0,6.0,9.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,0.8571416326548106,63.0,6.0,1
5.0,0.0,2.0,0.0,2.0,Introvert,0.0,1.0,0.0,1.0,2.0,1,0.0,0.0,0.6666666666666666,0
10.0,0.0,3.0,0.0,1.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,0.0,0.0,1.0,0
3.0,8.0,4.0,12.0,4.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.4999981250023438,32.0,8.0,1
6.0,1.0,2.0,5.0,1.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,4.999950000499995,1.0,2.6666666666666665,0
10.0,2.0,3.0,2.0,2.0,Introvert,0.0,1.0,0.0,1.0,5.0,1,0.9999950000249999,4.0,2.3333333333333335,0
3.0,5.0,7.0,8.0,4.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.5999968000064002,20.0,6.666666666666667,1
7.0,2.0,3.0,1.0,2.0,Introvert,0.0,1.0,0.0,1.0,5.0,1,0.49999750001249993,4.0,2.0,0
3.0,6.0,6.0,10.0,7.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.6666638888935186,42.0,7.333333333333333,1
4.505816002819881,3.0,0.0,2.0,1.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,0.6666644444518518,3.0,1.6666666666666667,0
4.0,9.0,7.0,10.0,5.0,Extrovert,1.0,0.0,1.0,0.0,16.0,0,1.1111098765445817,45.0,8.666666666666666,1
4.0,4.0,7.0,15.0,8.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,3.749990625023438,32.0,8.666666666666666,1
10.0,0.0,1.0,5.0,3.0,Introvert,0.0,1.0,0.0,1.0,1.0,1,499999.99999999994,0.0,2.0,0
4.0,7.0,6.0,7.0,9.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,0.9999985714306123,63.0,6.666666666666667,1
3.0,5.0,7.0,13.0,7.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,2.5999948000104003,35.0,8.333333333333334,1
5.0,3.963354474982382,0.0,2.0,2.0,Introvert,0.0,1.0,0.0,1.0,3.963354474982382,1,0.5046217708778575,7.926708949964764,1.9877848249941275,0
8.0,1.0,1.0,2.0,3.0,Introvert,0.0,1.0,0.0,1.0,2.0,1,1.9999800001999979,3.0,1.3333333333333333,0
4.0,9.0,5.0,10.0,7.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,1.1111098765445817,63.0,8.0,1
2.0,10.0,6.0,11.0,8.0,Extrovert,1.0,0.0,1.0,0.0,16.0,0,1.0999989000011001,80.0,9.0,1
6.0,0.0,1.0,1.0,1.0,Introvert,0.0,1.0,0.0,1.0,1.0,1,99999.99999999999,0.0,0.6666666666666666,0
10.0,2.0,1.0,5.0,3.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,2.4999875000625,6.0,2.6666666666666665,0
9.0,3.0,2.0,3.0,2.0,Introvert,0.0,1.0,0.0,1.0,5.0,1,0.9999966666777778,6.0,2.6666666666666665,0
6.0,3.0,2.0,1.0,1.0,Introvert,0.0,1.0,0.0,1.0,5.0,1,0.3333322222259259,3.0,2.0,0
4.0,10.0,4.0,9.0,8.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,0.8999991000009,80.0,7.666666666666667,1
2.0,10.0,7.0,6.0,4.0,Extrovert,1.0,0.0,1.0,0.0,17.0,0,0.5999994000006,40.0,7.666666666666667,1
10.0,3.0,3.0,5.0,3.0,Introvert,0.0,1.0,0.0,1.0,6.0,1,1.6666611111296294,9.0,3.6666666666666665,0
3.0,7.0,5.0,6.0,9.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,0.8571416326548106,63.0,6.0,1
2.0,10.0,6.0,12.0,5.0,Extrovert,1.0,0.0,1.0,0.0,16.0,0,1.1999988000012,50.0,9.333333333333334,1
3.0,5.0,6.0,8.0,6.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.5999968000064002,30.0,6.333333333333333,1
3.0,6.0,7.0,15.0,9.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,2.499995833340278,54.0,9.333333333333334,1
9.0,1.0,0.0,0.0,0.0,Introvert,0.0,1.0,0.0,1.0,1.0,1,0.0,0.0,0.3333333333333333,0
5.0,0.0,3.0,4.0,3.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,399999.99999999994,0.0,2.3333333333333335,0
0.0,6.0,7.0,8.0,7.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,1.333331111114815,42.0,7.0,1
1.0,4.0,7.0,10.0,7.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,2.499993750015625,28.0,7.0,1
7.0,2.0,2.0,3.0,2.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,1.4999925000374998,4.0,2.3333333333333335,0
2.0,6.0,4.0,13.0,5.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,2.1666630555615742,30.0,7.666666666666667,1
4.0,5.0,7.0,13.0,8.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,2.5999948000104003,40.0,8.333333333333334,1
9.0,2.0,3.0,0.0,1.0,Introvert,0.0,1.0,0.0,1.0,5.0,1,0.0,2.0,1.6666666666666667,0
4.0,8.0,7.0,11.0,7.0,Extrovert,1.0,0.0,1.0,0.0,15.0,0,1.3749982812521484,56.0,8.666666666666666,1
8.0,1.0,2.0,3.0,3.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,2.9999700002999967,3.0,2.0,0
5.0,3.0,1.0,2.0,1.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.6666644444518518,3.0,2.0,0
2.0,6.0,7.0,11.0,10.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,1.8333302777828704,60.0,8.0,1
2.0,10.0,4.0,11.0,10.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,1.0999989000011001,100.0,8.333333333333334,1
2.0,9.0,5.0,8.0,10.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,0.8888879012356653,90.0,7.333333333333333,1
5.0,2.0,2.0,1.0,2.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.49999750001249993,4.0,1.6666666666666667,0
6.0,3.0,0.0,5.0,0.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,1.6666611111296294,0.0,2.6666666666666665,0
3.0,10.0,5.0,14.0,4.0,Extrovert,1.0,0.0,1.0,0.0,15.0,0,1.3999986000014,40.0,9.666666666666666,1
6.0,3.0,3.0,1.0,0.0,Introvert,0.0,1.0,0.0,1.0,6.0,1,0.3333322222259259,0.0,2.3333333333333335,0
6.0,1.0,3.0,1.0,3.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.9999900000999989,3.0,1.6666666666666667,0
0.0,7.0,7.0,9.0,8.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,1.2857124489822158,56.0,7.666666666666667,1
10.0,0.0,3.0,4.0,3.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,399999.99999999994,0.0,2.3333333333333335,0
9.0,2.0,2.0,1.0,1.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.49999750001249993,2.0,1.6666666666666667,0
1.0,5.0,7.0,9.0,7.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.7999964000072002,35.0,7.0,1
6.0,1.0,3.0,3.0,3.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,2.9999700002999967,3.0,2.3333333333333335,0
1.0,8.0,4.0,10.0,8.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.2499984375019533,64.0,7.333333333333333,1
4.505816002819881,4.0,7.0,7.0,5.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.7499956250109376,20.0,6.0,1
3.0,6.0,6.0,13.0,9.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,2.1666630555615742,54.0,8.333333333333334,1
6.0,1.0,3.0,0.0,2.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.0,2.0,1.3333333333333333,0
1.0,5.0,5.0,15.0,5.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,2.9999940000120002,25.0,8.333333333333334,1
8.0,2.0,2.0,1.0,1.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.49999750001249993,2.0,1.6666666666666667,0
1.0,9.0,4.0,13.0,6.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,1.4444428395079563,54.0,8.666666666666666,1
2.0,8.0,6.0,13.0,10.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,1.624997968752539,80.0,9.0,1
2.0,9.0,7.0,13.0,10.0,Extrovert,1.0,0.0,1.0,0.0,16.0,0,1.4444428395079563,90.0,9.666666666666666,1
2.0,6.0,7.0,8.0,9.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,1.333331111114815,54.0,7.0,1
4.505816002819881,8.0,5.0,9.0,4.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,1.124998593751758,32.0,7.333333333333333,1
3.0,8.0,4.0,7.0,4.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,0.8749989062513672,32.0,6.333333333333333,1
6.0,0.0,0.0,2.0,3.0,Introvert,0.0,1.0,0.0,1.0,0.0,1,199999.99999999997,0.0,0.6666666666666666,0
7.0,0.0,2.0,3.0,2.0,Introvert,0.0,1.0,0.0,1.0,2.0,1,300000.0,0.0,1.6666666666666667,0
3.0,8.0,7.0,7.0,10.0,Extrovert,1.0,0.0,1.0,0.0,15.0,0,0.8749989062513672,80.0,7.333333333333333,1
10.0,1.0,0.0,0.0,3.0,Introvert,0.0,1.0,0.0,1.0,1.0,1,0.0,3.0,0.3333333333333333,0
9.0,2.0,0.0,2.0,1.0,Introvert,0.0,1.0,0.0,1.0,2.0,1,0.9999950000249999,2.0,1.3333333333333333,0
10.0,0.0,1.0,1.0,1.0,Introvert,0.0,1.0,0.0,1.0,1.0,1,99999.99999999999,0.0,0.6666666666666666,0
7.0,2.0,1.0,1.0,2.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,0.49999750001249993,4.0,1.3333333333333333,0
2.0,10.0,7.0,10.0,4.0,Extrovert,1.0,0.0,1.0,0.0,17.0,0,0.9999990000010001,40.0,9.0,1
4.0,8.0,7.0,6.0,10.0,Extrovert,1.0,0.0,1.0,0.0,15.0,0,0.7499990625011719,80.0,7.0,1
3.0,8.0,4.0,9.0,7.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,1.124998593751758,56.0,7.0,1
0.0,5.0,6.0,9.0,4.0,Extrovert,1.0,0.0,1.0,0.0,11.0,0,1.7999964000072002,20.0,6.666666666666667,1
9.0,2.0,3.0,2.0,1.0,Introvert,0.0,1.0,0.0,1.0,5.0,1,0.9999950000249999,2.0,2.3333333333333335,0
8.0,0.0,0.0,1.0,2.0,Introvert,0.0,1.0,0.0,1.0,0.0,1,99999.99999999999,0.0,0.3333333333333333,0
1.0,6.0,7.0,13.0,10.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,2.1666630555615742,60.0,8.666666666666666,1
6.0,3.0,2.0,3.0,1.0,Introvert,0.0,1.0,0.0,1.0,5.0,1,0.9999966666777778,3.0,2.6666666666666665,0
